Latitude,Longitude,objectid,LSOAcode,lsoa11nm
417191.88,556877.733,252,E01020634,County Durham 001A
417924.404,556874.248,253,E01020635,County Durham 001B
416607.784,556605.913,250,E01020636,County Durham 001C
416252.326,554413.31,123,E01020654,County Durham 001D
417777.285,554683.962,1580,E01020676,County Durham 001E
425978.393,554737.472,417,E01020613,County Durham 002A
425789.518,554444.839,411,E01020614,County Durham 002B
424840.525,554384.861,1348,E01020622,County Durham 002C
425173.445,554716.646,1349,E01020623,County Durham 002D
409382.234,552214.417,1346,E01020627,County Durham 003A
409509.824,552873.853,1352,E01020628,County Durham 003B
409728.441,552164.629,1699,E01020629,County Durham 003C
411944.65,556262.23,124,E01020655,County Durham 003D
410395.489,555078.727,121,E01020656,County Durham 003E
411104.367,553673.113,122,E01020657,County Durham 003F
419539.232,553193.43,899,E01020661,County Durham 004A
420056.893,553524.356,897,E01020662,County Durham 004B
420384.642,553697.02,1687,E01020663,County Durham 004C
420895.362,552910.445,1582,E01020674,County Durham 004D
418592.611,553688.9,1588,E01020678,County Durham 004E
423322.847,552223.152,980,E01020606,County Durham 005A
425657.188,553516.344,413,E01020615,County Durham 005B
425249.489,553098.463,407,E01020616,County Durham 005C
424516.754,552898.431,409,E01020617,County Durham 005D
416784.423,551708.069,1345,E01020626,County Durham 006A
416548.267,552094.762,258,E01020638,County Durham 006B
416415.458,552334.594,1675,E01020639,County Durham 006C
415321.919,553448.743,126,E01020653,County Durham 006D
418227.575,554195.836,1581,E01020677,County Durham 006E
426958.807,552277.886,351,E01020596,County Durham 007A
426578.754,552046.739,350,E01020597,County Durham 007B
427473.487,552076.172,359,E01020598,County Durham 007C
427768.788,553592.333,420,E01020611,County Durham 007D
427450.087,552737.503,415,E01020612,County Durham 007E
420428.165,552277.296,1151,E01020647,County Durham 008A
419904.462,551817.044,1158,E01020648,County Durham 008B
421317.694,551003.303,1159,E01020649,County Durham 008C
419681.227,552237.422,1585,E01020673,County Durham 008D
419867.792,552620.414,1583,E01020675,County Durham 008E
417648.01,551640.739,1347,E01020624,County Durham 009A
416792.91,551363.365,1698,E01020625,County Durham 009B
418989.168,552311.776,1586,E01020670,County Durham 009C
418845.976,551953.491,1587,E01020671,County Durham 009D
418925.956,551467.342,1584,E01020672,County Durham 009E
410130.043,551796.018,254,E01020632,County Durham 010A
411028.018,550532.223,1156,E01020640,County Durham 010B
411294.739,551267.427,1157,E01020641,County Durham 010C
410844.834,551740.461,1154,E01020642,County Durham 010D
410571.218,551024.375,1155,E01020643,County Durham 010E
412218.258,552234.528,894,E01020667,County Durham 010F
426754.076,551371.365,355,E01020592,County Durham 011A
427179.973,551186.248,354,E01020593,County Durham 011B
426770.961,550582.798,358,E01020599,County Durham 011C
426093.935,551228.676,994,E01020601,County Durham 011D
426489.455,551042.313,988,E01020602,County Durham 011E
425281.276,551482.161,422,E01020618,County Durham 011F
411735.45,549787.119,127,E01020650,County Durham 012A
412108.857,549513.242,128,E01020651,County Durham 012B
411599.864,550235.365,125,E01020652,County Durham 012C
412597.238,551569.944,900,E01020668,County Durham 012D
412813.977,551731.6,521,E01020669,County Durham 012E
427432.026,550655.18,353,E01020594,County Durham 013A
427813.592,550695.594,352,E01020595,County Durham 013B
426895.178,550297.789,992,E01020600,County Durham 013C
426075.772,550088.27,990,E01020603,County Durham 013D
425985.1,550529.453,986,E01020605,County Durham 013E
409043.804,551813.538,256,E01020630,County Durham 014A
409543.966,551573.167,257,E01020631,County Durham 014B
408047.593,548777.057,251,E01020637,County Durham 014C
409314.077,550126.382,1152,E01020644,County Durham 014D
408493.805,549283.358,1153,E01020645,County Durham 014E
431316.837,550559.227,357,E01020590,County Durham 015A
431142.145,551154.612,356,E01020591,County Durham 015B
430756.442,550225.972,996,E01020608,County Durham 015C
429307.767,549593.587,998,E01020609,County Durham 015D
429518.304,549051.569,1679,E01020610,County Durham 015E
440751.055,548657.186,968,E01020750,County Durham 016A
441388.227,549998.369,875,E01020781,County Durham 016B
440281.065,550057.962,866,E01020786,County Durham 016D
440539.624,549092.857,865,E01020787,County Durham 016E
442272.139,550118.717,1161,E01033163,County Durham 016F
440617.03,549958.108,578,E01033202,County Durham 016G
442502.515,548952.124,246,E01020740,County Durham 017A
442928.28,548776.104,247,E01020741,County Durham 017B
442968.128,548434.788,244,E01020742,County Durham 017C
442267.208,549732.476,873,E01020782,County Durham 017D
441656.666,549732.162,871,E01020783,County Durham 017E
442801.246,549345.89,869,E01020784,County Durham 017F
442242.165,548239.251,245,E01020743,County Durham 018A
441241.74,549163.331,241,E01020747,County Durham 018B
440927.863,549117.13,248,E01020748,County Durham 018C
441635.629,549073.526,249,E01020749,County Durham 018D
439897.019,547591.154,1323,E01020773,County Durham 018E
438982.835,547352.884,1321,E01020775,County Durham 018F
425285.167,549812.462,984,E01020604,County Durham 019A
425750.235,547648.529,982,E01020607,County Durham 019B
423999.527,546986.489,1680,E01020619,County Durham 019C
423808.038,547603.728,1350,E01020620,County Durham 019D
424389.808,547230.47,1351,E01020621,County Durham 019E
418850.976,547967.355,255,E01020633,County Durham 020A
416453.172,547456.802,895,E01020664,County Durham 020B
417012.737,547260.573,896,E01020665,County Durham 020C
416192.363,547491.183,893,E01020666,County Durham 020D
438449.781,547148.711,1319,E01020776,County Durham 021C
439772.503,546824.838,1162,E01033161,County Durham 021D
439540.498,547191.618,723,E01033198,County Durham 021E
438624.875,544956.908,577,E01033205,County Durham 021F
437793.512,545340.924,576,E01033206,County Durham 021G
428672.666,545829.305,880,E01020709,County Durham 022A
427936.44,545444.982,1552,E01020717,County Durham 022B
427431.147,545253.662,1566,E01020718,County Durham 022C
427926.844,544935.065,1568,E01020719,County Durham 022D
427792.941,544529.359,395,E01020721,County Durham 022E
426330.119,544429.303,878,E01020708,County Durham 023A
426476.242,545337.024,1562,E01020710,County Durham 023B
426760.916,544473.189,1564,E01020711,County Durham 023C
427405.027,544686.826,394,E01020720,County Durham 023D
418311.191,542429.413,1150,E01020646,County Durham 024A
421433.204,544891.546,129,E01020658,County Durham 024B
420972.159,544841.282,130,E01020659,County Durham 024C
420246.467,544791.809,898,E01020660,County Durham 024D
442910.709,544110.146,969,E01020751,County Durham 025A
443677.704,543838.229,966,E01020752,County Durham 025B
441839.366,543782.152,1704,E01020754,County Durham 025C
441555.0,543390.666,1703,E01020756,County Durham 025D
423551.402,543338.786,1589,E01020679,County Durham 026A
423603.691,545636.442,995,E01020680,County Durham 026B
423649.039,546208.447,993,E01020681,County Durham 026C
423908.872,542143.772,1554,E01020714,County Durham 026D
423422.281,542643.273,1550,E01020716,County Durham 026E
432944.173,544132.508,391,E01020725,County Durham 027A
432122.405,546704.928,388,E01020726,County Durham 027B
431782.703,546610.518,389,E01020727,County Durham 027C
434005.871,541965.499,396,E01020729,County Durham 027D
431920.124,542595.27,1710,E01020730,County Durham 027E
431805.2,542275.267,543,E01020731,County Durham 027F
430591.58,543164.745,991,E01020682,County Durham 028A
430875.39,543572.196,989,E01020683,County Durham 028B
430732.781,544181.631,421,E01020690,County Durham 028C
430595.733,543859.871,419,E01020691,County Durham 028D
429272.996,543438.179,418,E01020692,County Durham 028E
429458.45,542958.376,416,E01020693,County Durham 029A
428795.839,543071.522,392,E01020722,County Durham 029B
428800.577,542766.481,393,E01020723,County Durham 029C
429345.534,542346.653,390,E01020724,County Durham 029D
426861.824,542459.63,872,E01020703,County Durham 030A
427448.477,542316.892,1160,E01033164,County Durham 030D
428036.044,542833.362,722,E01033195,County Durham 030E
427935.074,542074.252,721,E01033197,County Durham 030F
427195.786,541101.819,1010,E01033221,County Durham 030G
418844.066,541795.403,868,E01020705,County Durham 031A
419147.997,541767.188,864,E01020706,County Durham 031B
422787.881,542433.553,1556,E01020715,County Durham 031C
443401.221,540610.102,243,E01020745,County Durham 032A
442748.247,543618.815,967,E01020753,County Durham 032B
442768.663,541235.956,965,E01020757,County Durham 032C
443251.157,541070.577,970,E01020758,County Durham 032D
442732.327,541661.03,971,E01020759,County Durham 032E
443504.097,542134.908,94,E01020765,County Durham 032F
424952.443,540200.107,987,E01020684,County Durham 033A
426462.973,543281.655,870,E01020702,County Durham 033B
426638.886,542196.23,867,E01020704,County Durham 033C
426088.754,542305.864,1558,E01020712,County Durham 033D
426327.734,541297.488,1560,E01020713,County Durham 033E
439085.627,541056.271,97,E01020760,County Durham 034A
439756.854,540781.7,98,E01020761,County Durham 034B
439371.997,540452.645,95,E01020762,County Durham 034C
437585.918,543148.83,96,E01020763,County Durham 034D
442225.863,541325.303,542,E01020733,County Durham 035A
441667.01,541505.455,1099,E01020734,County Durham 035B
