Table 1
LSOAcode,LSOAname,houseprice
E01020591,County Durham 015B,"168,000"
E01020592,County Durham 011A,"87,000"
E01020593,County Durham 011B,"84,000"
E01020594,County Durham 013A,"88,000"
E01020595,County Durham 013B,"196,250"
E01020596,County Durham 007A,"107,000"
E01020597,County Durham 007B,"153,000"
E01020598,County Durham 007C,"135,000"
E01020599,County Durham 011C,"102,500"
E01020600,County Durham 013C,"179,975"
E01020601,County Durham 011D,"124,000"
E01020602,County Durham 011E,"80,375"
E01020603,County Durham 013D,"221,500"
E01020604,County Durham 019A,"93,000"
E01020605,County Durham 013E,"150,000"
E01020606,County Durham 005A,"40,000"
E01020607,County Durham 019B,"122,500"
E01020608,County Durham 015C,"135,000"
E01020609,County Durham 015D,"130,000"
E01020610,County Durham 015E,"145,000"
E01020611,County Durham 007D,"234,995"
E01020612,County Durham 007E,"210,000"
E01020613,County Durham 002A,"179,225"
E01020614,County Durham 002B,"135,875"
E01020615,County Durham 005B,"100,000"
E01020616,County Durham 005C,"114,500"
E01020617,County Durham 005D,"139,975"
E01020618,County Durham 011F,"110,000"
E01020619,County Durham 019C,"88,500"
E01020620,County Durham 019D,"124,000"
E01020621,County Durham 019E,"100,000"
E01020622,County Durham 002C,"121,250"
E01020623,County Durham 002D,"103,000"
E01020624,County Durham 009A,"95,995"
E01020625,County Durham 009B,"79,500"
E01020626,County Durham 006A,"66,500"
E01020627,County Durham 003A,"109,975"
E01020628,County Durham 003B,"182,500"
E01020629,County Durham 003C,"129,950"
E01020630,County Durham 014A,"134,950"
E01020631,County Durham 014B,"114,950"
E01020632,County Durham 010A,"78,000"
E01020633,County Durham 020A,"106,500"
E01020634,County Durham 001A,"152,000"
E01020635,County Durham 001B,"210,000"
E01020636,County Durham 001C,"105,500"
E01020637,County Durham 014C,"123,000"
E01020638,County Durham 006B,"91,750"
E01020639,County Durham 006C,"85,000"
E01020640,County Durham 010B,"109,000"
E01020641,County Durham 010C,"89,750"
